Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Population,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm
CAR-NBA_3,2,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,22,0,0,0
CAR-NBA_3,3,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,2,0,0,0
CAR-NBA_3,4,Alvar,1368.191,11,GL_alvar,CAR-NBA,1,1,1,58,1,2,29
CAR-NBA_3,5,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,20,0,0,0
CAR-NBA_3,6,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,21,1,1,12
CAR-NBA_3,7,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,9,1,1,1
CAR-NBA_3,8,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_3,9,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,8,0,0,0
CAR-NBA_4,1,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_4,10,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_4,11,Alvar,1368.191,11,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_4,12,Alvar,1368.191,14,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_4,2,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,14,1,1,13
CAR-NBA_4,3,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,23,0,0,0
CAR-NBA_4,4,Alvar,1368.191,11,GL_alvar,CAR-NBA,1,1,1,13,0,0,0
CAR-NBA_4,5,Alvar,1368.191,12,GL_alvar,CAR-NBA,1,1,1,32,0,0,0
CAR-NBA_4,7,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,6,0,0,0
CAR-NBA_4,8,Alvar,1368.191,11,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_4,9,Alvar,1368.191,11,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_7,1,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,6,0,0,0
CAR-NBA_7,10,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,3,0,0,0
CAR-NBA_7,11,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,15,0,0,0
CAR-NBA_7,12,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,15,1,3,36
CAR-NBA_7,2,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_7,3,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,6,1,1,12
CAR-NBA_7,4,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,17,0,0,0
CAR-NBA_7,5,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,3,0,0,0
CAR-NBA_7,6,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,4,0,0,0
CAR-NBA_7,7,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_7,8,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_7,9,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_8,1,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,18,1,2,22
CAR-NBA_8,10,Alvar,1368.191,10,GL_alvar,CAR-NBA,1,1,1,14,0,0,0
CAR-NBA_8,11,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_8,12,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_8,2,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,1,1,0,0,0
CAR-NBA_8,3,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_8,4,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,1,3,0,0,0
CAR-NBA_8,5,Alvar,1368.191,NA,GL_alvar,CAR-NBA,0,0,0,0,0,0,0
CAR-NBA_8,6,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_8,7,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,0,0,0,0,0
CAR-NBA_8,8,Alvar,1368.191,9,GL_alvar,CAR-NBA,1,1,1,7,0,0,0
CAR-NBA_8,9,Alvar,1368.191,8,GL_alvar,CAR-NBA,1,1,1,39,0,0,0
CAR-PSR_1,1,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,10,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,11,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,12,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,2,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,3,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,5,0,0,0
CAR-PSR_1,4,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,5,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,6,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,7,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,8,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_1,9,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_10,1,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,3,0,0,0
CAR-PSR_10,10,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,5,0,0,0
CAR-PSR_10,11,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_10,12,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,1,20,0,0,0
CAR-PSR_10,2,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,6,0,0,0
CAR-PSR_10,3,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_10,4,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,10,0,0,0
CAR-PSR_10,5,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_10,6,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_10,7,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_10,8,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_10,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_12,1,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,1,38,1,2,5
CAR-PSR_12,10,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_12,11,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,13,1,1,0
CAR-PSR_12,12,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_12,2,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,19,1,4,91
CAR-PSR_12,3,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_12,4,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_12,5,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_12,6,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,24,1,2,0
CAR-PSR_12,7,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,16,1,3,7
CAR-PSR_12,8,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_12,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,0,0,0,0,0,0
CAR-PSR_14,1,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,10,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,46,0,0,0
CAR-PSR_14,11,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,12,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_14,2,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,3,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,5,1,3,53
CAR-PSR_14,4,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,5,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,6,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,7,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,8,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_14,9,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,15,1,2,34
CAR-PSR_20,1,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_20,10,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,1,4,0,0,0
CAR-PSR_20,11,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_20,12,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_20,2,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_20,3,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_20,4,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,13,1,6,124
CAR-PSR_20,5,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,8,1,4,25
CAR-PSR_20,6,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,1,11,1,1,25
CAR-PSR_20,7,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,29,1,3,0
CAR-PSR_20,8,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,3,1,2,0
CAR-PSR_20,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_23,1,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,1,4,1,3,43
CAR-PSR_23,10,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_23,11,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_23,12,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,8,0,0,0
CAR-PSR_23,2,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_23,3,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,1,2,0,0,0
CAR-PSR_23,4,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_23,5,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_23,6,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,2,0,0,0
CAR-PSR_23,7,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,1,8,0,0,0
CAR-PSR_23,8,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,1,2,0,0,0
CAR-PSR_23,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_25,1,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,13,1,3,37
CAR-PSR_25,10,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,11,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,12,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,2,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,3,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,4,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,6,0,0,0
CAR-PSR_25,5,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,6,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_25,7,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_25,8,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,7,1,1,23
CAR-PSR_25,9,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_31,1,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_31,10,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_31,11,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_31,12,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_31,2,Alvar,1366.181,17,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_31,3,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_31,4,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,2,0,0,0
CAR-PSR_31,5,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_31,6,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,13,1,1,20
CAR-PSR_31,7,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_31,8,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,1,1,1,15
CAR-PSR_31,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_6,1,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,23,1,2,49
CAR-PSR_6,10,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,8,1,1,0
CAR-PSR_6,11,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_6,12,Alvar,1366.181,17,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_6,2,Alvar,1366.181,10,GL_alvar,CAR-PSR,1,1,1,6,0,0,0
CAR-PSR_6,3,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,21,1,1,6
CAR-PSR_6,4,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,7,0,0,0
CAR-PSR_6,5,Alvar,1366.181,13,GL_alvar,CAR-PSR,1,1,1,26,1,9,115
CAR-PSR_6,6,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,25,1,1,10
CAR-PSR_6,7,Alvar,1366.181,14,GL_alvar,CAR-PSR,1,1,1,2,1,1,16
CAR-PSR_6,8,Alvar,1366.181,11,GL_alvar,CAR-PSR,1,1,1,2,0,0,0
CAR-PSR_6,9,Alvar,1366.181,NA,GL_alvar,CAR-PSR,0,0,0,0,0,0,0
CAR-PSR_7,1,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,4,0,0,0
CAR-PSR_7,10,Alvar,1366.181,15,GL_alvar,CAR-PSR,1,1,1,24,1,1,21
CAR-PSR_7,11,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,21,1,2,0
CAR-PSR_7,12,Alvar,1366.181,12,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
CAR-PSR_7,2,Alvar,1366.181,8,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_7,3,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,7,0,0,0
CAR-PSR_7,4,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,33,0,0,0
CAR-PSR_7,5,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,8,0,0,0
CAR-PSR_7,6,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,5,0,0,0
CAR-PSR_7,7,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,1,0,0,0
CAR-PSR_7,8,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,1,22,0,0,0
CAR-PSR_7,9,Alvar,1366.181,9,GL_alvar,CAR-PSR,1,1,0,0,0,0,0
MAN-FOX_17,1,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_17,10,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_17,11,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_17,12,Alvar,1068.226,14,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_17,2,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,1,1,0,0,0
MAN-FOX_17,3,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,2,0,0,0
MAN-FOX_17,4,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_17,5,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,3,0,0,0
MAN-FOX_17,6,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_17,7,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_17,8,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,4,0,0,0
MAN-FOX_17,9,Alvar,1068.226,14,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,1,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,3,0,0,0
MAN-FOX_18,10,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,13,0,0,0
MAN-FOX_18,11,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,12,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,2,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,1,1,1,1,33
MAN-FOX_18,3,Alvar,1068.226,15,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,4,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,9,0,0,0
MAN-FOX_18,5,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,0,0,0,0,0,0
MAN-FOX_18,6,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,7,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,2,0,0,0
MAN-FOX_18,8,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_18,9,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_2,1,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_2,10,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,10,0,0,0
MAN-FOX_2,11,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,12,0,0,0
MAN-FOX_2,12,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_2,2,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,27,0,0,0
MAN-FOX_2,3,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,3,0,0,0
MAN-FOX_2,4,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,14,0,0,0
MAN-FOX_2,5,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_2,6,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,1,12,0,0,0
MAN-FOX_2,7,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,1,0,0,0
MAN-FOX_2,8,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_2,9,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,1,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,8,0,0,0
MAN-FOX_22,10,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,7,0,0,0
MAN-FOX_22,11,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,12,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,1,0,0,0
MAN-FOX_22,2,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,3,0,0,0
MAN-FOX_22,3,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,4,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,5,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,6,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,7,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,8,Alvar,1068.226,13,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_22,9,Alvar,1068.226,14,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_29,1,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_29,10,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,4,0,0,0
MAN-FOX_29,11,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_29,12,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_29,2,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_29,3,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_29,4,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,6,1,1,23
MAN-FOX_29,5,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,7,0,0,0
MAN-FOX_29,6,Alvar,1068.226,13,GL_alvar,MAN-FOX,1,1,1,4,0,0,0
MAN-FOX_29,7,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,20,0,0,0
MAN-FOX_29,8,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_29,9,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,1,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,10,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,6,1,1,13
MAN-FOX_3,11,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,15,0,0,0
MAN-FOX_3,12,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,0,0,0,0,0,0
MAN-FOX_3,2,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,3,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,4,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,5,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,1,1,0,0,0
MAN-FOX_3,6,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,7,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_3,8,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,31,1,2,35
MAN-FOX_3,9,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_38,1,Alvar,1068.226,23,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_38,10,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,6,0,0,0
MAN-FOX_38,11,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_38,12,Alvar,1068.226,17,GL_alvar,MAN-FOX,1,0,0,0,0,0,0
MAN-FOX_38,2,Alvar,1068.226,17,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_38,3,Alvar,1068.226,18,GL_alvar,MAN-FOX,1,0,0,0,0,0,0
MAN-FOX_38,4,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,4,0,0,0
MAN-FOX_38,5,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_38,6,Alvar,1068.226,10,GL_alvar,MAN-FOX,1,1,1,3,0,0,0
MAN-FOX_38,7,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_38,8,Alvar,1068.226,16,GL_alvar,MAN-FOX,1,1,1,2,0,0,0
MAN-FOX_38,9,Alvar,1068.226,9,GL_alvar,MAN-FOX,1,1,1,1,0,0,0
MAN-FOX_4,1,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,6,0,0,0
MAN-FOX_4,10,Alvar,1068.226,14,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,11,Alvar,1068.226,15,GL_alvar,MAN-FOX,1,1,1,12,0,0,0
MAN-FOX_4,12,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,1,8,0,0,0
MAN-FOX_4,2,Alvar,1068.226,32,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,3,Alvar,1068.226,12,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,4,Alvar,1068.226,16,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,5,Alvar,1068.226,15,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,6,Alvar,1068.226,NA,GL_alvar,MAN-FOX,0,0,0,0,0,0,0
MAN-FOX_4,7,Alvar,1068.226,17,GL_alvar,MAN-FOX,1,1,1,6,0,0,0
MAN-FOX_4,8,Alvar,1068.226,11,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_4,9,Alvar,1068.226,13,GL_alvar,MAN-FOX,1,1,0,0,0,0,0
MAN-FOX_6,1,Alvar,1068.226,8,GL_alvar,MAN-FOX,1,1,1,5,1,1,0
